position,position,position,orientation,orientation,orientation,orientation,linear_velocity,linear_velocity,linear_velocity,angular_velocity,angular_velocity,angular_velocity,linear_acceleration,linear_acceleration,linear_acceleration,angular_acceleration,angular_acceleration,angular_acceleration
0.4268471300601959,0.46324798464775085,0.15481245517730713,0.11417338381830665,0.8784694794258875,0.4119868950548085,-0.21336028320141048,0.0002991043135233574,-0.0003087071872548835,-6.470438766384179e-05,-0.0004563716665915232,-0.0003464957120479938,-0.0005287907735919669,0.0,0.0,0.0,0.0,0.0,0.0
0.4268483817577362,0.4632467031478882,0.15481217205524445,0.11417426901135415,0.8784700026168679,0.411985605491761,-0.21336014544808937,0.000299100814862616,-0.0003087050266245052,-6.470293718076697e-05,-0.0004563672218540203,-0.0003464918531297577,-0.000528785823039897,0.0,0.0,0.0,0.0,0.0,0.0
0.4268496334552765,0.4632454216480255,0.15481190383434296,0.11417517096999365,0.8784704828270109,0.4119843851784044,-0.21336004195918082,0.00029909731621802037,-0.00030870286597115123,-6.470148672495873e-05,-0.0004563627771245139,-0.0003464879942277401,-0.0005287808724883003,0.0,0.0,0.0,0.0,0.0,0.0
0.4268508851528168,0.46324414014816284,0.15481163561344147,0.11417608342174981,0.8784709887262462,0.4119831191570833,-0.21335991533182017,0.0002990938175895773,-0.0003087007052948203,-6.470003629640383e-05,-0.0004563583324029817,-0.0003464841353419734,-0.0005287759219371728,0.0,0.0,0.0,0.0,0.0,0.0
0.42685213685035706,0.46324285864830017,0.15481136739253998,0.11417696825103055,0.8784715091172709,0.4119818282806544,-0.21335979179957354,0.00029909031897729056,-0.00030869854459552134,-6.46985858951184e-05,-0.0004563538876894463,-0.00034648027647244685,-0.0005287709713865458,0.0,0.0,0.0,0.0,0.0,0.0
0.42685335874557495,0.4632415771484375,0.1548110991716385,0.11417786984579963,0.8784719865276405,0.41198060665423236,-0.213359702531822,0.0002990868203811381,-0.00030869638387324923,-6.469713552113311e-05,-0.0004563494429839274,-0.00034647641761909606,-0.0005287660208363879,0.0,0.0,0.0,0.0,0.0,0.0
0.42685461044311523,0.46324026584625244,0.154810830950737,0.11417876062616958,0.8784724953808748,0.4119793401689979,-0.21335957619729196,0.0002990833218011432,-0.00030869422312800927,-6.469568517439756e-05,-0.0004563449982863989,-0.0003464725587820046,-0.000528761070286712,0.0,0.0,0.0,0.0,0.0,0.0
0.4268558621406555,0.46323898434638977,0.1548105627298355,0.11417967167473501,0.878472990484825,0.41197809888745746,-0.2133594469480427,0.0002990798232373033,-0.00030869206235979675,-6.469423485491926e-05,-0.00045634055359685094,-0.00034646869996116266,-0.0005287561197375285,0.0,0.0,0.0,0.0,0.0,0.0
0.4268571138381958,0.4632377028465271,0.15481029450893402,0.11418056768007659,0.8784734822144401,0.4119768541740071,-0.21335934625691985,0.00029907632468959927,-0.00030868990156861936,-6.469278456274514e-05,-0.0004563361089153444,-0.00034646484115648864,-0.0005287511691888168,0.0,0.0,0.0,0.0,0.0,0.0
0.4268583655357361,0.46323642134666443,0.15481002628803253,0.11418145172781104,0.8784740011552922,0.4119755663164275,-0.213359223221777,0.00029907282615806286,-0.00030868774075447076,-6.469133429779754e-05,-0.000456331664241798,-0.00034646098236811116,-0.0005287462186406002,0.0,0.0,0.0,0.0,0.0,0.0
0.42685961723327637,0.46323513984680176,0.15480975806713104,0.114182361064681,0.8784744785262212,0.4119743428218291,-0.213359133519755,0.00029906932764267683,-0.0003086855799173762,-6.468988406016953e-05,-0.0004563272195763178,-0.00034645712359590927,-0.0005287412680928811,0.0,0.0,0.0,0.0,0.0,0.0
0.42686083912849426,0.4632338583469391,0.15480948984622955,0.11418325181644393,0.878474989441482,0.41197307915325354,-0.21335899320956198,0.00029906582914344845,-0.0003086834190573055,-6.468843384978207e-05,-0.0004563227749187996,-0.000346453264839961,-0.0005287363175456453,0.0,0.0,0.0,0.0,0.0,0.0
0.42686209082603455,0.4632325768470764,0.15480920672416687,0.11418416289052544,0.8784754824601324,0.4119718350442574,-0.2133588779303422,0.00029906233066038504,-0.0003086812581742699,-6.468698366663642e-05,-0.00045631833026926034,-0.00034644940610029925,-0.0005287313669989122,0.0,0.0,0.0,0.0,0.0,0.0
0.42686334252357483,0.46323126554489136,0.15480893850326538,0.11418505151363577,0.8784759769991709,0.4119705934983033,-0.21335876344513316,0.0002990588321934784,-0.00030867909726829717,-6.468553351081171e-05,-0.0004563138856277985,-0.0003464455473768199,-0.000528726416452696,0.0,0.0,0.0,0.0,0.0,0.0
0.4268645942211151,0.4632299840450287,0.1548086702823639,0.11418595699865315,0.8784764843391356,0.41196932630308175,-0.2133586367430183,0.0002990553337427389,-0.0003086769363393536,-6.468408338220781e-05,-0.00045630944099430884,-0.00034644168866962687,-0.0005287214659069649,0.0,0.0,0.0,0.0,0.0,0.0
0.4268658459186554,0.463228702545166,0.1548084020614624,0.1141868533650157,0.8784769788456094,0.411968082891721,-0.21335852182513645,0.0002990518353081567,-0.000308674775387461,-6.468263328089469e-05,-0.0004563049963688561,-0.000346437829978652,-0.0005287165153617493,0.0,0.0,0.0,0.0,0.0,0.0
0.4268670678138733,0.46322742104530334,0.1548081338405609,0.1141877619193902,0.878477454764135,0.4119668624160972,-0.2133584326198617,0.00029904833688973096,-0.0003086726144126039,-6.468118320685233e-05,-0.0004563005517513855,-0.0003464339713038989,-0.0005287115648170144,0.0,0.0,0.0,0.0,0.0,0.0
