position,position,position,orientation,orientation,orientation,orientation,linear_velocity,linear_velocity,linear_velocity,angular_velocity,angular_velocity,angular_velocity,linear_acceleration,linear_acceleration,linear_acceleration,angular_acceleration,angular_acceleration,angular_acceleration
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6549329534805174,0.4498496015137861,0.19100521843470086,0.01645152687160353,0.9932791453223467,0.1126795279997867,0.02071740092402044,2.8821328786869374e-05,-8.358685824265083e-05,-0.00026567528409493046,0.0006606292600882522,0.000844816747954183,-0.0003491924658750286,0.0,0.0,0.0,0.0,0.0,0.0
0.6103284593743301,0.4458093425522591,0.21855614947201513,0.0052273290323568405,0.9983619403374773,0.04998847340642189,0.02733612341335998,0.0002760297993424385,-4.7618362713149247e-05,0.001126559265354769,0.001033770487078857,-0.0010169483460596006,-0.000803018261142609,0.0,0.0,0.0,0.0,0.0,0.0
0.6103284655257707,0.4458094634783385,0.21855425514001925,0.005227578104822232,0.9983617571057883,0.04999245192512617,0.027335492062789585,0.0006009607896654157,-0.0005374186253103968,-7.641951909204596e-05,-0.00034519494174329376,-0.0005874402436289856,0.0005836992227611675,0.0,0.0,0.0,0.0,0.0,0.0
0.6103265110075767,0.44581105604940696,0.21855397172583388,0.005226757652176919,0.9983618464240607,0.04999151224720289,0.027334105297659648,-0.00036160205272923226,0.00037182153043834385,-0.00038226539533763607,-0.00015751035657420173,0.00039751457531687223,0.0009455611267268041,0.0,0.0,0.0,0.0,0.0,0.0
0.6103277861716214,0.44580998412133216,0.21855463406825787,0.005227186126092865,0.9983618474448496,0.04999085841684682,0.02733518184422756,0.0001611529010091084,-2.1197583245864864e-05,0.00015839150050412336,0.0004085516996432074,-0.00038923128896393847,0.0004560232974676255,0.0,0.0,0.0,0.0,0.0,0.0
0.6103269114538186,0.44580975398222256,0.21854946014660892,0.005229232058749691,0.9983618395222748,0.04999248728508174,0.027332100775947176,-0.00031747914071242827,-0.00012693044392124788,-0.0021397475387658947,-0.0022193556686801405,0.00188589384428903,0.0003635007321282849,0.0,0.0,0.0,0.0,0.0,0.0
0.6103274452849126,0.4458085473547495,0.218552186155741,0.005228901100278533,0.9983618798880016,0.04999203190873046,0.02733152255940974,0.00034175773136524196,-0.0006388069803661269,-0.0004593029263371235,-0.0013605746846941512,0.00036275072665102885,0.00013028226719322068,0.0,0.0,0.0,0.0,0.0,0.0
0.6103286554140162,0.44580829819836576,0.21855411437059774,0.00522726782755341,0.9983619325938666,0.049989150458463846,0.027335179804419768,0.0002844238061087618,-0.00026826865563956694,0.00016894352117787225,3.9784305287776894e-07,-0.0007861576461735412,0.000162148587434317,0.0,0.0,0.0,0.0,0.0,0.0
0.6103263770053946,0.4458117795902947,0.21855634361997897,0.005224409997998105,0.9983618296004526,0.04999193234737775,0.027334400252882973,-1.913401741518033e-05,0.000481410876225733,0.0011853582362495252,0.0020383861005697952,-0.0009336595401160157,-0.00027409513975000624,0.0,0.0,0.0,0.0,0.0,0.0
0.6103282588158763,0.4458097857804715,0.21855436937235773,0.005226849116963944,0.9983620212996922,0.04998735112216265,0.027335310543159987,0.00025746116896488067,-3.0385991726645563e-05,1.7400045416575292e-05,2.774659761380915e-07,-0.0006337324476380026,-0.0008152504555703297,0.0,0.0,0.0,0.0,0.0,0.0
0.6103275982775938,0.44581067558568965,0.21855633376266106,0.00522775771238799,0.9983617739786831,0.049991323721884924,0.02733690472550066,0.00010786548060774659,0.00020848486564688522,0.0008579631821345279,0.0005640871633764268,-0.0014819411991456985,-0.0006998191951582634,0.0,0.0,0.0,0.0,0.0,0.0
0.6103274895110445,0.4458103041652106,0.2185546828756353,0.005226789602374615,0.9983619961809507,0.04998817482221557,0.02733473303296664,0.00011882832467805236,3.6828313512811734e-05,0.0005162954977371547,0.0004331629376898951,-0.0004959755202411634,-0.0005000302792297161,0.0,0.0,0.0,0.0,0.0,0.0
0.6103281311409468,0.4458081328196337,0.21855305441371395,0.005226821526787927,0.9983619340211884,0.04999021723325238,0.027333262066053035,-5.190225669135474e-07,-0.00023035585868180387,-8.539960856304197e-05,8.742000817745891e-05,0.00016664426450103934,9.617432192066328e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.610328090220106,0.44580916050356045,0.2185534290282961,0.0052273294794364135,0.9983619574289165,0.0499892730736928,0.027334036708461473,0.00042470925392726865,-0.00038594255495257105,-2.639147686252296e-05,-0.00033816800178826357,-0.00040395115212282285,-0.0010857304236230277,0.0,0.0,0.0,0.0,0.0,0.0
0.6103274647499427,0.4458090448377023,0.21855236047706594,0.005227682605433301,0.998362022805812,0.04998871694792454,0.027332598331748063,-0.0001349228674726672,-0.00028015928107182265,-0.0012839851715686678,-0.0013898099715961177,0.0015318428501037006,-0.0011841372139083312,0.0,0.0,0.0,0.0,0.0,0.0
0.6103288031275499,0.4458083418089651,0.21855361208114604,0.0052274391209222405,0.9983619091403567,0.04998991724663912,0.02733460136042531,0.0004252330337075177,-0.00038814762580014156,0.00016979860067986056,-1.803147255060699e-05,-0.0005136772391695898,-0.0003259492569685426,0.0,0.0,0.0,0.0,0.0,0.0
0.6103257401256835,0.4458096145643371,0.21854652125270593,0.005230471147901288,0.9983618502100308,0.049993246622025776,0.02733008432047646,-0.0005601574480597083,0.00016037628558663997,-0.0019638335756034,-0.001652385268225517,0.0022933033212678066,0.001159206149697988,0.0,0.0,0.0,0.0,0.0,0.0
